time,datetime_kst,open,high,low,close,volume
1786188900,2026-08-08 20:35:00,17.1,17.103,17.082,17.1,80
1786189200,2026-08-08 20:40:00,17.103,17.105,17.087,17.092,1419
1786189500,2026-08-08 20:45:00,17.089,17.098,17.089,17.094,435
1786189800,2026-08-08 20:50:00,17.095,17.097,17.088,17.096,103
1786190100,2026-08-08 20:55:00,17.085,17.095,17.085,17.095,2
1786190400,2026-08-08 21:00:00,17.089,17.094,17.081,17.081,70
1786190700,2026-08-08 21:05:00,17.086,17.086,17.078,17.078,239
1786191000,2026-08-08 21:10:00,17.101,17.101,17.076,17.076,1485
1786191300,2026-08-08 21:15:00,17.077,17.114,17.077,17.114,40
1786191600,2026-08-08 21:20:00,17.116,17.116,17.109,17.109,188
1786191900,2026-08-08 21:25:00,17.109,17.109,17.094,17.094,28
1786192200,2026-08-08 21:30:00,17.104,17.106,17.101,17.106,9
1786192500,2026-08-08 21:35:00,17.11,17.11,17.092,17.092,512
1786192800,2026-08-08 21:40:00,17.098,17.106,17.098,17.103,5
1786193100,2026-08-08 21:45:00,17.111,17.111,17.105,17.107,32
1786193400,2026-08-08 21:50:00,17.113,17.122,17.113,17.117,36
1786193700,2026-08-08 21:55:00,17.117,17.117,17.11,17.11,30
1786194000,2026-08-08 22:00:00,17.105,17.105,17.103,17.105,3
1786194300,2026-08-08 22:05:00,17.122,17.124,17.122,17.124,18
1786194600,2026-08-08 22:10:00,17.135,17.367,17.135,17.306,2509
1786194900,2026-08-08 22:15:00,17.306,17.325,17.255,17.263,3129
1786195200,2026-08-08 22:20:00,17.281,17.323,17.271,17.282,1333
1786195500,2026-08-08 22:25:00,17.289,17.289,17.237,17.246,858
1786195800,2026-08-08 22:30:00,17.251,17.251,17.2,17.226,2903
1786196100,2026-08-08 22:35:00,17.224,17.246,17.224,17.241,89
1786196400,2026-08-08 22:40:00,17.231,17.24,17.231,17.239,20
1786196700,2026-08-08 22:45:00,17.231,17.249,17.22,17.236,35
1786197000,2026-08-08 22:50:00,17.244,17.244,17.22,17.22,5
1786197300,2026-08-08 22:55:00,17.233,17.252,17.233,17.244,1142
1786197600,2026-08-08 23:00:00,17.244,17.254,17.244,17.253,42
1786197900,2026-08-08 23:05:00,17.263,17.286,17.263,17.281,328
1786198200,2026-08-08 23:10:00,17.287,17.292,17.237,17.237,200
1786198500,2026-08-08 23:15:00,17.268,17.277,17.249,17.252,101
1786198800,2026-08-08 23:20:00,17.268,17.287,17.267,17.268,214
1786199100,2026-08-08 23:25:00,17.279,17.279,17.273,17.276,3
1786199400,2026-08-08 23:30:00,17.267,17.276,17.264,17.264,5
1786199700,2026-08-08 23:35:00,17.263,17.264,17.257,17.257,4
1786200000,2026-08-08 23:40:00,17.261,17.274,17.258,17.274,7
1786200300,2026-08-08 23:45:00,17.284,17.3,17.256,17.26,1297
1786200600,2026-08-08 23:50:00,17.269,17.269,17.265,17.265,3
1786200900,2026-08-08 23:55:00,17.271,17.309,17.271,17.276,296
1786201200,2026-08-09 00:00:00,17.296,17.3,17.287,17.296,439
1786201500,2026-08-09 00:05:00,17.283,17.283,17.283,17.283,40
1786201800,2026-08-09 00:10:00,17.295,17.327,17.295,17.327,276
1786202100,2026-08-09 00:15:00,17.306,17.312,17.305,17.305,54
1786202400,2026-08-09 00:20:00,17.305,17.309,17.305,17.309,2
1786202700,2026-08-09 00:25:00,17.309,17.309,17.309,17.309,25
1786203000,2026-08-09 00:30:00,17.324,17.34,17.316,17.316,225
1786203300,2026-08-09 00:35:00,17.316,17.316,17.316,17.316,24
1786203600,2026-08-09 00:40:00,17.329,17.334,17.329,17.334,2
1786203900,2026-08-09 00:45:00,17.327,17.336,17.327,17.336,2
1786204200,2026-08-09 00:50:00,17.336,17.336,17.336,17.336,0
1786204500,2026-08-09 00:55:00,17.324,17.325,17.316,17.316,1896
1786204800,2026-08-09 01:00:00,17.316,17.326,17.315,17.315,60
1786205100,2026-08-09 01:05:00,17.306,17.333,17.303,17.325,224
1786205400,2026-08-09 01:10:00,17.339,17.356,17.337,17.356,149
1786205700,2026-08-09 01:15:00,17.346,17.346,17.333,17.333,1253
1786206000,2026-08-09 01:20:00,17.337,17.346,17.325,17.336,616
1786206300,2026-08-09 01:25:00,17.331,17.34,17.323,17.34,85
1786206600,2026-08-09 01:30:00,17.339,17.339,17.335,17.336,4
1786206900,2026-08-09 01:35:00,17.344,17.344,17.337,17.337,8
1786207200,2026-08-09 01:40:00,17.326,17.337,17.326,17.337,101
1786207500,2026-08-09 01:45:00,17.333,17.368,17.333,17.368,140
1786207800,2026-08-09 01:50:00,17.364,17.375,17.357,17.357,80
1786208100,2026-08-09 01:55:00,17.377,17.377,17.376,17.376,49
1786208400,2026-08-09 02:00:00,17.38,17.385,17.37,17.37,10
1786208700,2026-08-09 02:05:00,17.369,17.371,17.369,17.371,2
1786209000,2026-08-09 02:10:00,17.376,17.392,17.376,17.385,47
1786209300,2026-08-09 02:15:00,17.385,17.385,17.37,17.376,65
1786209600,2026-08-09 02:20:00,17.373,17.373,17.368,17.368,2
1786209900,2026-08-09 02:25:00,17.367,17.369,17.367,17.367,636
1786210200,2026-08-09 02:30:00,17.365,17.369,17.35,17.369,15
1786210500,2026-08-09 02:35:00,17.382,17.409,17.382,17.4,133
1786210800,2026-08-09 02:40:00,17.398,17.398,17.387,17.387,2
1786211100,2026-08-09 02:45:00,17.391,17.391,17.377,17.378,38
1786211400,2026-08-09 02:50:00,17.384,17.388,17.363,17.378,314
1786211700,2026-08-09 02:55:00,17.382,17.388,17.369,17.369,14
1786212000,2026-08-09 03:00:00,17.386,17.386,17.364,17.366,8
1786212300,2026-08-09 03:05:00,17.388,17.409,17.384,17.408,59
1786212600,2026-08-09 03:10:00,17.394,17.394,17.38,17.384,10
1786212900,2026-08-09 03:15:00,17.38,17.385,17.38,17.385,4
1786213200,2026-08-09 03:20:00,17.385,17.4,17.385,17.4,4
1786213500,2026-08-09 03:25:00,17.401,17.402,17.389,17.391,33
1786213800,2026-08-09 03:30:00,17.388,17.401,17.382,17.401,115
1786214100,2026-08-09 03:35:00,17.39,17.42,17.39,17.416,74
1786214400,2026-08-09 03:40:00,17.416,17.419,17.414,17.419,274
1786214700,2026-08-09 03:45:00,17.423,17.423,17.404,17.408,5
1786215000,2026-08-09 03:50:00,17.412,17.412,17.401,17.401,12
1786215300,2026-08-09 03:55:00,17.399,17.417,17.398,17.414,4
1786215600,2026-08-09 04:00:00,17.414,17.425,17.414,17.424,11
1786215900,2026-08-09 04:05:00,17.424,17.461,17.424,17.461,157
1786216200,2026-08-09 04:10:00,17.471,17.484,17.471,17.483,263
1786216500,2026-08-09 04:15:00,17.482,17.486,17.482,17.485,49
1786216800,2026-08-09 04:20:00,17.483,17.484,17.477,17.477,10
1786217100,2026-08-09 04:25:00,17.475,17.485,17.473,17.473,7
1786217400,2026-08-09 04:30:00,17.477,17.498,17.477,17.498,115
1786217700,2026-08-09 04:35:00,17.498,17.595,17.498,17.532,1966
1786218000,2026-08-09 04:40:00,17.538,17.559,17.5,17.5,1163
1786218300,2026-08-09 04:45:00,17.5,17.5,17.461,17.461,231
1786218600,2026-08-09 04:50:00,17.463,17.524,17.455,17.521,380
1786218900,2026-08-09 04:55:00,17.518,17.518,17.496,17.496,372
1786219200,2026-08-09 05:00:00,17.496,17.497,17.488,17.488,5
1786219500,2026-08-09 05:05:00,17.489,17.499,17.489,17.495,61
1786219800,2026-08-09 05:10:00,17.49,17.49,17.484,17.486,112
1786220100,2026-08-09 05:15:00,17.489,17.508,17.486,17.508,8
1786220400,2026-08-09 05:20:00,17.489,17.489,17.488,17.488,2
1786220700,2026-08-09 05:25:00,17.499,17.513,17.494,17.513,4
1786221000,2026-08-09 05:30:00,17.512,17.512,17.5,17.5,56
1786221300,2026-08-09 05:35:00,17.512,17.515,17.512,17.515,8
1786221600,2026-08-09 05:40:00,17.532,17.54,17.532,17.535,52
1786221900,2026-08-09 05:45:00,17.539,17.539,17.539,17.539,6
1786222200,2026-08-09 05:50:00,17.544,17.544,17.543,17.543,3
1786222500,2026-08-09 05:55:00,17.54,17.54,17.54,17.54,600
1786222800,2026-08-09 06:00:00,17.55,17.572,17.548,17.572,135
1786223100,2026-08-09 06:05:00,17.561,17.562,17.553,17.562,476
1786223400,2026-08-09 06:10:00,17.56,17.56,17.547,17.547,66
1786223700,2026-08-09 06:15:00,17.559,17.559,17.547,17.555,449
1786224000,2026-08-09 06:20:00,17.549,17.563,17.534,17.559,494
1786224300,2026-08-09 06:25:00,17.562,17.564,17.533,17.558,108
1786224600,2026-08-09 06:30:00,17.557,17.557,17.538,17.555,555
1786224900,2026-08-09 06:35:00,17.564,17.564,17.544,17.545,1221
1786225200,2026-08-09 06:40:00,17.547,17.547,17.52,17.526,552
1786225500,2026-08-09 06:45:00,17.529,17.529,17.499,17.5,619
1786225800,2026-08-09 06:50:00,17.5,17.501,17.477,17.477,165
1786226100,2026-08-09 06:55:00,17.475,17.475,17.413,17.413,1038
1786226400,2026-08-09 07:00:00,17.428,17.484,17.417,17.484,148
1786226700,2026-08-09 07:05:00,17.471,17.551,17.471,17.498,2419
1786227000,2026-08-09 07:10:00,17.498,17.507,17.492,17.498,56
1786227300,2026-08-09 07:15:00,17.492,17.505,17.487,17.505,3698
1786227600,2026-08-09 07:20:00,17.505,17.515,17.458,17.468,428
1786227900,2026-08-09 07:25:00,17.471,17.499,17.456,17.46,491
1786228200,2026-08-09 07:30:00,17.464,17.464,17.447,17.45,147
1786228500,2026-08-09 07:35:00,17.453,17.484,17.453,17.462,618
1786228800,2026-08-09 07:40:00,17.469,17.469,17.458,17.458,16
1786229100,2026-08-09 07:45:00,17.477,17.483,17.457,17.471,122
1786229400,2026-08-09 07:50:00,17.466,17.466,17.459,17.462,56
1786229700,2026-08-09 07:55:00,17.468,17.48,17.465,17.465,56
1786230000,2026-08-09 08:00:00,17.458,17.477,17.458,17.477,3
1786230300,2026-08-09 08:05:00,17.475,17.476,17.445,17.445,57
1786230600,2026-08-09 08:10:00,17.445,17.445,17.427,17.427,494
1786230900,2026-08-09 08:15:00,17.453,17.456,17.453,17.456,2
1786231200,2026-08-09 08:20:00,17.45,17.453,17.45,17.453,353
1786231500,2026-08-09 08:25:00,17.456,17.456,17.445,17.445,5
1786231800,2026-08-09 08:30:00,17.438,17.438,17.421,17.429,580
1786232100,2026-08-09 08:35:00,17.42,17.43,17.413,17.416,2099
1786232400,2026-08-09 08:40:00,17.412,17.42,17.41,17.415,70
1786232700,2026-08-09 08:45:00,17.413,17.418,17.405,17.408,50
1786233000,2026-08-09 08:50:00,17.405,17.405,17.385,17.385,243
1786233300,2026-08-09 08:55:00,17.389,17.402,17.389,17.402,6
1786233600,2026-08-09 09:00:00,17.402,17.402,17.391,17.392,29
1786233900,2026-08-09 09:05:00,17.392,17.392,17.379,17.381,26
1786234200,2026-08-09 09:10:00,17.381,17.388,17.375,17.388,71
1786234500,2026-08-09 09:15:00,17.388,17.388,17.381,17.381,3
1786234800,2026-08-09 09:20:00,17.385,17.39,17.383,17.39,1004
1786235100,2026-08-09 09:25:00,17.379,17.39,17.363,17.363,753
1786235400,2026-08-09 09:30:00,17.357,17.359,17.339,17.339,113
1786235700,2026-08-09 09:35:00,17.341,17.367,17.337,17.346,628
1786236000,2026-08-09 09:40:00,17.355,17.397,17.35,17.368,688
1786236300,2026-08-09 09:45:00,17.372,17.378,17.363,17.363,15
1786236600,2026-08-09 09:50:00,17.365,17.371,17.365,17.367,5
1786236900,2026-08-09 09:55:00,17.368,17.377,17.367,17.377,4
1786237200,2026-08-09 10:00:00,17.375,17.4,17.375,17.4,50
1786237500,2026-08-09 10:05:00,17.397,17.406,17.382,17.382,39
1786237800,2026-08-09 10:10:00,17.376,17.396,17.376,17.396,87
1786238100,2026-08-09 10:15:00,17.395,17.395,17.395,17.395,2
1786238400,2026-08-09 10:20:00,17.379,17.379,17.345,17.354,1576
1786238700,2026-08-09 10:25:00,17.35,17.35,17.33,17.33,94
1786239000,2026-08-09 10:30:00,17.329,17.329,17.286,17.286,380
1786239300,2026-08-09 10:35:00,17.286,17.286,17.244,17.262,554
1786239600,2026-08-09 10:40:00,17.255,17.29,17.255,17.29,1107
1786239900,2026-08-09 10:45:00,17.277,17.293,17.268,17.293,153
1786240200,2026-08-09 10:50:00,17.293,17.293,17.267,17.267,15
1786240500,2026-08-09 10:55:00,17.269,17.271,17.251,17.251,988
1786240800,2026-08-09 11:00:00,17.254,17.274,17.254,17.266,540
1786241100,2026-08-09 11:05:00,17.266,17.296,17.266,17.296,60
1786241400,2026-08-09 11:10:00,17.3,17.3,17.3,17.3,361
1786241700,2026-08-09 11:15:00,17.284,17.284,17.27,17.271,4
1786242000,2026-08-09 11:20:00,17.277,17.277,17.268,17.268,14
1786242300,2026-08-09 11:25:00,17.268,17.278,17.259,17.278,5
1786242600,2026-08-09 11:30:00,17.275,17.277,17.267,17.267,49
1786242900,2026-08-09 11:35:00,17.265,17.287,17.265,17.277,33
1786243200,2026-08-09 11:40:00,17.269,17.276,17.259,17.276,136
1786243500,2026-08-09 11:45:00,17.278,17.278,17.276,17.276,2
